Match-ID,Date,Game
Matches/MatchScorecard_ODI.asp?MatchCode=2361,2005-07-31,2005-2006 Indian Oil Cup  - 2nd ODI - India v West Indies -  
Matches/MatchScorecard_ODI.asp?MatchCode=2362,2005-08-02,2005-2006 Indian Oil Cup  - 3rd ODI - Sri Lanka v West Indies -  
Matches/MatchScorecard_ODI.asp?MatchCode=2363,2005-08-03,2005-2006 Indian Oil Cup  - 4th ODI - Sri Lanka v India -  
Matches/MatchScorecard_ODI.asp?MatchCode=2364,2005-08-06,2005-2006 Indian Oil Cup  - 5th ODI - Sri Lanka v West Indies -  
Matches/MatchScorecard_ODI.asp?MatchCode=2365,2005-08-07,2005-2006 Indian Oil Cup  - 6th ODI - India v West Indies -  
Matches/MatchScorecard_ODI.asp?MatchCode=2366,2005-08-09,2005-2006 Indian Oil Cup  - 7th ODI (Final) - Sri Lanka v India -  
Matches/MatchScorecard_ODI.asp?MatchCode=2367,2005-08-17,2005-2006 ACA Africa XI v ACC Asian XI  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2369,2005-08-21,2005-2006 ACA Africa XI v ACC Asian XI  - 3rd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2371,2005-08-26,2005-2006 Videocon Triangular Series  - 2nd ODI - India v New Zealand -  
Matches/MatchScorecard_ODI.asp?MatchCode=2372,2005-08-29,2005-2006 Videocon Triangular Series  - 3rd ODI - Zimbabwe v India -  
Matches/MatchScorecard_ODI.asp?MatchCode=2373,2005-08-31,2005-2006 Videocon Triangular Series  - 4th ODI - Zimbabwe v New Zealand -  
Matches/MatchScorecard_ODI.asp?MatchCode=2376,2005-09-02,2005-2006 Videocon Triangular Series  - 5th ODI - India v New Zealand -  
Matches/MatchScorecard_ODI.asp?MatchCode=2378,2005-09-04,2005-2006 Videocon Triangular Series  - 6th ODI - Zimbabwe v India -  
Matches/MatchScorecard_ODI.asp?MatchCode=2379,2005-09-06,2005-2006 Videocon Triangular Series  - 7th ODI (Final) - India v New Zealand -  
Matches/MatchScorecard_ODI.asp?MatchCode=2380,2005-10-05,2005-2006 Australia v ICC World XI  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2381,2005-10-07,2005-2006 Australia v ICC World XI  - 2nd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2382,2005-10-09,2005-2006 Australia v ICC World XI  - 3rd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2383,2005-10-23,2005-2006 South Africa v New Zealand  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2384,2005-10-25,2005-2006 India v Sri Lanka  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2385,2005-10-28,2005-2006 India v Sri Lanka  - 2nd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2388,2005-10-31,2005-2006 India v Sri Lanka  - 3rd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2389,2005-11-03,2005-2006 India v Sri Lanka  - 4th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2392,2005-11-06,2005-2006 India v Sri Lanka  - 5th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2393,2005-11-09,2005-2006 India v Sri Lanka  - 6th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2394,2005-11-12,2005-2006 India v Sri Lanka  - 7th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2395,2005-11-16,2005-2006 India v South Africa  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2396,2005-11-19,2005-2006 India v South Africa  - 2nd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2398,2005-11-25,2005-2006 India v South Africa  - 4th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2399,2005-11-28,2005-2006 India v South Africa  - 5th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2400,2005-12-03,2005-2006 New Zealand v Australia  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2402,2005-12-10,2005-2006 New Zealand v Australia  - 3rd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2403,2005-12-10,2005-2006 Pakistan v England  - 1st ODI -  
