Players,playerid
Mark Chapman  (New Zealand  Hong Kong),PlayerID=4278
Babar Azam  (Pakistan),PlayerID=4425
Travis Head  (Australia),PlayerID=4386
Kyle Abbott  (South Africa),PlayerID=4002
Mohammad Nawaz  (Pakistan),PlayerID=4536
Siddarth Kaul  (India),PlayerID=4034
Wahab Riaz  (Pakistan),PlayerID=3529
Callum Ferguson  (Australia),PlayerID=3643
Tom Banton  (England),PlayerID=5660
Brandon King  (West Indies),PlayerID=5665
Kane Richardson  (Australia),PlayerID=3996
Mustafizur Rahman  (Bangladesh),PlayerID=4414
Aaron Phangiso  (South Africa),PlayerID=3990
Jacob Ball  (England),PlayerID=4568
James Shannon  (Ireland),PlayerID=4219
Dane Paterson  (South Africa),PlayerID=4641
Dawid Malan  (England),PlayerID=4694
Shaun Marsh  (Australia),PlayerID=3561
Veerasammy Permaul  (West Indies),PlayerID=3976
Sayed Shirzad  (Afghanistan),PlayerID=4506
Suresh Raina  (India),PlayerID=3287
Lockie Ferguson  (New Zealand),PlayerID=4609
Khary Pierre  (West Indies),PlayerID=4830
Roelof van der Merwe  (Netherlands  South Africa),PlayerID=3658
Mohammad Shahzad  (Afghanistan),PlayerID=3728
Samiullah Shinwari  (Afghanistan),PlayerID=3669
Junaid Khan  (Pakistan),PlayerID=3855
Stuart Thompson  (Ireland),PlayerID=4237
Najeeb Tarakai  (Afghanistan),PlayerID=4274
Josh Little  (Ireland),PlayerID=4584
Devendra Bishoo  (West Indies),PlayerID=3852
Najibullah Zadran  (Afghanistan),PlayerID=3960
Karim Janat  (Afghanistan),PlayerID=4611
Gareth Delany  (Ireland),PlayerID=5298
Reeza Hendricks  (South Africa),PlayerID=4340
Shabir Noori  (Afghanistan),PlayerID=3763
Tim Murtagh  (Ireland),PlayerID=3958
Nicholas Pooran  (West Indies),PlayerID=4587
Jonny Bairstow  (England),PlayerID=3900
Patrick Cummins  (Australia),PlayerID=3909
Andy McBrine  (Ireland),PlayerID=4294
Rishi Dhawan  (India),PlayerID=4064
Usman Khawaja  (Australia),PlayerID=3842
Mohammad Hasnain  (Pakistan),PlayerID=4991
Dean Brownlie  (New Zealand),PlayerID=3840
Temba Bavuma  (South Africa),PlayerID=4370
Jeetan Patel  (New Zealand),PlayerID=3321
Jason Roy  (England),PlayerID=4325
Obed McCoy  (West Indies),PlayerID=4825
Simi Singh  (Ireland),PlayerID=4687
Sharjeel Khan  (Pakistan),PlayerID=4252
Alexander Hales  (England),PlayerID=3887
Ashton Agar  (Australia),PlayerID=4224
Nikita Miller  (West Indies),PlayerID=3597
Ross Taylor  (New Zealand),PlayerID=3348
Fareed Ahmad  (Afghanistan),PlayerID=4363
Shreyas Iyer  (India),PlayerID=4387
Ahmed Shehzad  (Pakistan),PlayerID=3675
Murali Vijay  (India),PlayerID=3626
Evin Lewis  (West Indies),PlayerID=4538
Shaheen Shah Afridi  (Pakistan),PlayerID=4798
Kemar Roach  (West Indies),PlayerID=3611
Colin Munro  (New Zealand),PlayerID=3985
Javed Ahmadi  (Afghanistan),PlayerID=3813
Nazmul Islam  (Bangladesh),PlayerID=4736
Darren Bravo  (West Indies),PlayerID=3703
Ashley Nurse  (West Indies),PlayerID=3859
Dale Steyn  (South Africa  ACA Africa XI),PlayerID=3242
Kieran Powell  (West Indies),PlayerID=3720
Ravichandran Ashwin  (India),PlayerID=3788
Chris Morris  (South Africa),PlayerID=3989
Hashmatullah Shahidi  (Afghanistan),PlayerID=4239
Rayad Emrit  (West Indies),PlayerID=3457
Moises Henriques  (Australia),PlayerID=3680
Andy Balbirnie  (Ireland),PlayerID=3809
Mashrafe Mortaza  (Bangladesh  ACC Asian XI),PlayerID=2995
Keemo Paul  (West Indies),PlayerID=4742
Manish Pandey  (India),PlayerID=4083
Vijay Shankar  (India),PlayerID=4027
James Neesham  (New Zealand),PlayerID=3986
Rishabh Pant  (India),PlayerID=4542
Mohammad Hafeez  (Pakistan),PlayerID=3101
Jofra Archer  (England),PlayerID=4777
Afif Hossain  (Bangladesh),PlayerID=4734
Sohail Khan  (Pakistan),PlayerID=3525
John Campbell  (West Indies),PlayerID=4840
Mitchell Santner  (New Zealand),PlayerID=4429
Khalid Latif  (Pakistan),PlayerID=3524
Quinton de Kock  (South Africa),PlayerID=3988
Najmul Hossain Shanto  (Bangladesh),PlayerID=4633
Tom Latham  (New Zealand),PlayerID=3932
Corey Anderson  (New Zealand),PlayerID=3983
Oshane Thomas  (West Indies),PlayerID=4822
Jason Mohammed  (West Indies),PlayerID=3925
Scott Boland  (Australia),PlayerID=4511
Craig Young  (Ireland),PlayerID=4328
Zulfiqar Babar  (Pakistan),PlayerID=4226
D'Arcy Short  (Australia),PlayerID=4729
Virat Kohli  (India),PlayerID=3600
Douglas Bracewell  (New Zealand),PlayerID=3911
Liton Das  (Bangladesh),PlayerID=4430
Shannon Gabriel  (West Indies),PlayerID=3952
William Porterfield  (Ireland),PlayerID=3418
John Anderson  (Ireland),PlayerID=4327
Shakib Al Hasan  (Bangladesh),PlayerID=3426
Christiaan Jonker  (South Africa),PlayerID=4740
Yuzvendra Chahal  (India),PlayerID=4063
Ariful Haque  (Bangladesh),PlayerID=4735
Mark Wood  (England),PlayerID=4421
Mohammad Mithun  (Bangladesh),PlayerID=4266
Lutho Sipamla  (South Africa),PlayerID=4849
Janneman Malan  (South Africa),PlayerID=4848
