name,gametype,longname,retired
3640,Test Cricket,Malcolm Waller  (Zimbabwe),True
3946,T20 Internationals,Craig Wallace  (Scotland),False
3946,One Day Internationals,Craig Wallace  (Scotland),False
5223,T20 Internationals,Walid Ghauri  (Norway),False
5778,T20 Internationals,Kenneth Waiswa  (Uganda),False
5156,T20 Internationals,Charles Waiswa  (Uganda),False
5892,T20 Internationals,Wahidullah Usmani  (Belgium),False
5346,T20 Internationals,Waheed Ahmed  (United Arab Emirates),False
5346,One Day Internationals,Waheed Ahmed  (United Arab Emirates),False
3529,T20 Internationals,Wahab Riaz  (Pakistan),False
3529,One Day Internationals,Wahab Riaz  (Pakistan),False
3529,Test Cricket,Wahab Riaz  (Pakistan),False
3967,Test Cricket,Neil Wagner  (New Zealand),False
4795,Test Cricket,Wafadar Momand  (Afghanistan),False
3910,T20 Internationals,Matthew Wade  (Australia),False
3910,One Day Internationals,Matthew Wade  (Australia),True
3910,Test Cricket,Matthew Wade  (Australia),False
3872,T20 Internationals,Brian Vitori  (Zimbabwe),True
3872,One Day Internationals,Brian Vitori  (Zimbabwe),False
3872,Test Cricket,Brian Vitori  (Zimbabwe),True
5437,T20 Internationals,Roshan Vishwanath  (Luxembourg),False
5086,T20 Internationals,Vishal Ahir  (Panama),False
4445,T20 Internationals,Tobias Visee  (Netherlands),False
4445,One Day Internationals,Tobias Visee  (Netherlands),False
5268,T20 Internationals,Virandeep Singh  (Malaysia),False
4990,T20 Internationals,Wesley Viraliliu  (Vanuatu),False
4979,T20 Internationals,Jamal Vira  (Vanuatu),False
4997,T20 Internationals,Tom Vine  (Spain),False
4419,T20 Internationals,James Vince  (England),False
4419,One Day Internationals,James Vince  (England),False
4419,Test Cricket,James Vince  (England),False
4987,T20 Internationals,Vimal Kumar  (Philippines),False
5030,T20 Internationals,Christi Viljoen  (Namibia),False
5030,One Day Internationals,Christi Viljoen  (Namibia),False
5480,T20 Internationals,Vikramjit Singh  (Netherlands),False
5438,T20 Internationals,Vikram Vijh  (Luxembourg),False
5340,T20 Internationals,Selladore Vijayakumar  (Singapore),False
3626,T20 Internationals,Murali Vijay  (India),True
3626,One Day Internationals,Murali Vijay  (India),True
3626,Test Cricket,Murali Vijay  (India),False
4117,Test Cricket,Hanuma Vihari  (India),False
5171,T20 Internationals,James Vifah  (Ghana),False
5266,T20 Internationals,Vichanath Singh  (Thailand),False
4292,T20 Internationals,Sharad Vesawkar  (Nepal),False
4292,One Day Internationals,Sharad Vesawkar  (Nepal),False
5829,One Day Internationals,Kyle Verreynne  (South Africa),False
5439,T20 Internationals,Girish Venkateswaran  (Luxembourg),False
5215,T20 Internationals,Thomas Veillard  (Guernsey),False
5813,T20 Internationals,Sathaiya Veerapathiran  (Bahrain),False
5897,T20 Internationals,Shameek Vats  (Luxembourg),False
5409,T20 Internationals,Shantanu Vashisht  (Romania),False
5908,T20 Internationals,Delrick Varghese  (Bulgaria),False
4347,T20 Internationals,Jack Vare  (Papua New Guinea),True
4347,One Day Internationals,Jack Vare  (Papua New Guinea),False
