match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_T20.asp?MatchCode=0456,0,c†SultanAhmedbRanpura,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0454,24,st†VarebAmini,73.33,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=3759,65,cMendisbHerath,94.74,5,1
Matches/MatchScorecard_ODI.asp?MatchCode=3711,46,bRohanMustafa,61.19,3,1
Matches/MatchScorecard_T20.asp?MatchCode=0380,55,cMallabSompalKami,136.11,4,1
Matches/MatchScorecard_ODI.asp?MatchCode=3709,10,cRohanMustafabMohammadNaveed,60.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3187,1,cOdoyobOdhiambo,7.14,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3185,71,notout,88.71,6,3
Matches/MatchScorecard_ODI.asp?MatchCode=3149,26,cBerringtonbLyons,53.33,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=3166,0,lbwbDavey,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3164,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3183,1,cWatersbKamande,7.14,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3087,6,cJyotibKhurramChohan,85.71,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=2964,9,lbwbIqbal,36.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3007,23,c†SmitsbSchiferli,32.86,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3008,33,cSzwarczynskibvanBunge,44.78,3,0
