match_id,score,how dismissed,strike rate,4s,6s,batting position,player_name
Matches/MatchScorecard_ODI.asp?MatchCode=3084,-,dnb,-,-,-,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3085,1,cHauritzbHopes,9.09,0,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=2973,0,lbwbBroad,0.00,0,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=2951,34,runout,74.36,3,1,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=2950,15,notout,45.16,1,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=2949,0,c†PriorbAnderson,0.00,0,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=2948,73,cAndersonbBatty,59.05,5,1,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=2955,19,cBroadbFlintoff,89.47,2,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3762,-,dnb,-,-,-,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=2570,0,lbwbNaved-ul-Hasan,0.00,0,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=2712,0,bHaq,0.00,0,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=2664,16,notout,53.85,2,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=4342,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4171,25,cPandyabUTYadav,137.50,1,1,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4175,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4173,-,dnb,-,-,-,Tail,Adil Rashid  (England)
