Match_id,Score,Overs,Maidens,Wicket,Economy,player_name
Matches/MatchScorecard_ODI.asp?MatchCode=4028,50,10.0,0,2,6.9,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4166,52,10.0,0,2,3.6,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4167,71,8.0,0,3,8.75,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4170,27,8.0,0,1,4.0,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4326,75,10.0,0,3,6.6,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4041,110,10.0,1,4,4.1,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4108,48,10.0,0,2,7.3,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4123,75,10.0,0,3,4.9,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4036,50,10.0,0,2,4.7,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4137,25,10.0,0,1,5.5,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4138,4,10.0,0,0,3.2,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4139,58,10.0,1,2,3.4,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4146,-2,10.0,0,0,7.4,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4149,77,10.0,0,3,4.2,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4346,25,5.0,0,1,6.0,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4355,0,8.0,0,0,4.88,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4020,137,8.0,0,5,3.38,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4284,29,9.0,0,1,3.0,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3974,-6,5.0,0,0,10.0,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3009,2,10.0,0,0,3.7,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3058,0,3.0,0,0,9.0,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4253,71,9.0,0,3,8.22,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4254,25,6.0,0,1,4.67,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4256,129,10.0,0,5,8.5,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3832,56,10.0,1,2,4.1,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3834,0,4.0,0,0,8.5,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4169,48,10.0,0,2,7.3,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3885,-2,6.0,0,0,7.0,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4292,21,10.0,0,1,8.1,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3859,29,10.0,0,1,3.2,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3861,4,10.0,1,0,5.1,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4005,25,1.2,0,1,3.75,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3858,0,9.0,0,0,6.67,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3863,73,10.0,0,3,7.8,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4075,31,10.0,1,1,4.2,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4125,25,10.0,0,1,5.5,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4211,102,5.0,0,4,7.2,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4212,27,10.0,0,1,3.6,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4215,25,10.0,0,1,5.2,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3830,104,10.0,0,4,5.9,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3831,25,7.0,0,1,6.29,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4117,50,10.0,0,2,5.1,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3904,2,10.0,0,0,3.6,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3906,54,10.0,0,2,3.4,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3908,0,10.0,0,0,6.0,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3910,50,9.0,0,2,6.33,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3911,52,10.0,0,2,4.1,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4072,75,6.0,0,3,5.67,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4073,25,10.0,0,1,6.7,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4287,0,1.0,0,0,3.0,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4331,52,10.0,0,2,4.5,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3833,0,10.0,0,0,6.3,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4165,48,10.0,0,2,7.2,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3015,25,10.0,0,1,5.6,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3017,23,7.0,0,1,7.86,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3005,25,4.0,0,1,4.0,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3852,48,5.0,0,2,7.0,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3853,0,4.0,0,0,8.75,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3855,25,7.0,0,1,5.71,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3892,52,8.0,0,2,4.38,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3893,0,3.0,0,0,4.67,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3898,50,10.0,0,2,6.0,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3900,25,10.0,0,1,6.9,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3905,25,9.0,0,1,6.89,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3907,60,10.0,2,2,3.9,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3909,35,8.0,2,1,4.0,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3939,75,10.0,0,3,5.4,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3943,-2,8.0,0,0,7.5,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=4148,145,10.0,2,5,2.7,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=4150,2,8.0,0,0,4.5,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3960,27,9.0,0,1,3.78,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3961,104,10.0,0,4,4.8,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3963,19,7.0,0,1,9.14,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=4001,4,10.0,1,0,5.4,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=4004,0,4.0,0,0,9.5,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=4321,-2,5.0,0,0,7.0,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=4344,-2,7.0,0,0,7.57,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=4304,0,4.0,0,0,3.5,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=4338,0,3.0,0,0,11.0,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=4360,75,10.0,0,3,5.3,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3736,0,5.0,0,0,6.2,Carlos Brathwaite  (West Indies)
